repo,topic,filename,bytes,tag,url
duplicati/duplicati,backup,duplicati-2.3.0.4_stable_2026-07-09-win-x64-gui.msi,97185280,v2.3.0.4_stable_2026-07-09,https://github.com/duplicati/duplicati/releases/download/v2.3.0.4_stable_2026-07-09/duplicati-2.3.0.4_stable_2026-07-09-win-x64-gui.msi
kopia/kopia,backup,KopiaUI-Setup-0.23.1.exe,113267920,v0.23.1,https://github.com/kopia/kopia/releases/download/v0.23.1/KopiaUI-Setup-0.23.1.exe
ReagentX/imessage-exporter,backup,imessage-exporter-x86_64-pc-windows-gnu.exe,4647178,4.2.0,https://github.com/ReagentX/imessage-exporter/releases/download/4.2.0/imessage-exporter-x86_64-pc-windows-gnu.exe
librevault/librevault,file-sync,librevault_v0.1.17.exe,45858328,v0.1.17,https://github.com/librevault/librevault/releases/download/v0.1.17/librevault_v0.1.17.exe
oll3/bita,file-sync,bita-v0.14.0-x86_64-pc-windows-msvc.exe,7805952,v0.14.0,https://github.com/oll3/bita/releases/download/v0.14.0/bita-v0.14.0-x86_64-pc-windows-msvc.exe
Sync-in/desktop,file-sync,Sync-in-Desktop-2.2.1-x64.exe,109584040,v2.2.1,https://github.com/Sync-in/desktop/releases/download/v2.2.1/Sync-in-Desktop-2.2.1-x64.exe
bewcloud/bewcloud-desktop,file-sync,bewCloud.Desktop.Sync_0.0.5_x64.msi,4042752,v0.0.5,https://github.com/bewcloud/bewcloud-desktop/releases/download/v0.0.5/bewCloud.Desktop.Sync_0.0.5_x64.msi
spacedriveapp/spacedrive,file-manager,Spacedrive-windows-x86_64.msi,91103232,0.4.3,https://github.com/spacedriveapp/spacedrive/releases/download/0.4.3/Spacedrive-windows-x86_64.msi
aleksey-hoffman/sigma-file-manager,file-manager,Sigma-File-Manager-2.2.0-windows-setup.exe,15770708,v2.2.0,https://github.com/aleksey-hoffman/sigma-file-manager/releases/download/v2.2.0/Sigma-File-Manager-2.2.0-windows-setup.exe
doublecmd/doublecmd,file-manager,doublecmd-1.2.8.x86_64-win64.msi,17261292,v1.2.8,https://github.com/doublecmd/doublecmd/releases/download/v1.2.8/doublecmd-1.2.8.x86_64-win64.msi
antonmedv/walk,file-manager,walk_windows_amd64.exe,12355584,v1.13.0,https://github.com/antonmedv/walk/releases/download/v1.13.0/walk_windows_amd64.exe
FarGroup/FarManager,file-manager,Far_3.0.6730.4962_x64_20260816_af8f648.msi,15020032,ci/v3.0.6730.4962,https://github.com/FarGroup/FarManager/releases/download/ci/v3.0.6730.4962/Far_3.0.6730.4962_x64_20260816_af8f648.msi
mcmilk/7-Zip-zstd,archiver,7z26.02-zstd-x64.exe,3344024,v26.02-v1.5.7-R2,https://github.com/mcmilk/7-Zip-zstd/releases/download/v26.02-v1.5.7-R2/7z26.02-zstd-x64.exe
DO-SAY-GO/tdf,archiver,dn-win.exe,96625936,v4.5.2,https://github.com/DO-SAY-GO/tdf/releases/download/v4.5.2/dn-win.exe
lightpohl/podcast-dl,archiver,podcast-dl-12.1.4-win-x64.exe,43809643,v12.1.4,https://github.com/lightpohl/podcast-dl/releases/download/v12.1.4/podcast-dl-12.1.4-win-x64.exe
wattostudios/GameExtractor,archiver,extract.exe,149295091,v3.16.0008,https://github.com/wattostudios/GameExtractor/releases/download/v3.16.0008/extract.exe
alexferrari88/sbstck-dl,archiver,sbstck-dl-win-amd64.exe,13561344,v0.7,https://github.com/alexferrari88/sbstck-dl/releases/download/v0.7/sbstck-dl-win-amd64.exe
IridiumIO/CompactGUI,compression,CompactGUI.mono.exe,67063345,v4.0.0-beta.7,https://github.com/IridiumIO/CompactGUI/releases/download/v4.0.0-beta.7/CompactGUI.mono.exe
